找个附近的女人聊聊天	想找一个人聊聊天
手机搬家的	别的安卓手机搬家到新手机
小布打开美团外卖	哪里有好玩的
我好像没说过喜欢你	我什么时候说喜欢你了
Reno是什么意思	Reno就现在
那我告诉你	大家告诉我的
小嘴真甜	小嘴不甜怎么可能
我说再见	她哥说再见
我能变成马云吗	我能不能变成马云
语录社会语录社会语录	开启社会人语录，来一句社会语录
请告诉我你是谁	你叫什么请告诉我
请问oppo充电提示音怎么弄？	oppo充电提示音怎么弄
今天今天会不会下雨	今天下雨有点感冒吧
我和吴彦祖谁更帅一点	我和吴彦祖谁帅
Reno Ace的按键介绍	Reno3 Pro的按键介绍
给我讲个童话故事	给我讲个故事吧
请给我讲个段子	给我讲个段子
请问你有爸爸妈妈吗	请问你有父母吗
手机的操作系统ColorOS 11有什么用	ColorOS是什么
我的短信吗	唯独短信
你只能识别我的声音吗	你只能识别我一个人的声音吗
我会等到你回来的	我等你回来
我真的一点也不想和你说话	我不想跟你聊天呀
怀孕能吃莜麦菜吗	怀孕能吃胶玉蘑吗
reno3 pro的充电接口	OPPO Reno3充电接口
歌曲你爱我吗	你爱我?
难道我不行吗	我觉得我不行
请保持直行	一直向前
你有超能力吗	你是否拥有超能力
我的主人是谁	我的主人叫什么
讲真的我被你打败了	好吧我被你打败了
我不管你了我要睡觉了	不管你了我要睡觉了
我问问都不行吗	不行就得给我打钱
最近怎么样了	how old are you
谢谢你的花茶	恩恩,好的,谢谢你
这是小爱同学吗	小爱同学呢
我女朋友叫什么	你知道我女朋友的名字吗
母亲节几月几日	你几月几日过生啊
玩成语接龙啊	来个成语接龙
唱一首路灯下的小姑娘原唱	唱一首的
给大爷笑一个	笑着给大爷笑一个
用土味情话说圣诞快乐	快手老铁祝小布生日快乐
处女座的运势	你是不是处女座
我看着不舒服啊	我心里很不舒服
系统什么时候可以更新啊	OPPO R11什么时候可以更新系统
来一首赵雷的成都	我要听你唱歌
十万韩币等于多少人民币	一百泰铢等于多少元
评奖怎么写	了怎么写
小微你在干嘛	小微你在干什么
我打瞌睡了	太困了我要打瞌睡了
饿今天天气热不热	今天的天气很好哦
赵丽颖她是谁呀	喜欢赵丽颖吗
我在这里看见我了吗我在这儿呢	我在这里我在这里
哎哟真放心	你放心好了
我怎么能成为一个有趣的人呢	怎样才能成为一个自信的人
oppo r9主板换的多少钱	OPPO r9s换一个内屏多少钱
录音机录音机	录音机
怎么让一个女孩子喜欢我们的女朋友	怎么让一个女孩子喜欢我
你今天过得怎么样	你今天是不是过的很开心
学你讲话不好玩	和你说话不好玩
现在多少温度	今年会下雪吗
你这个丑八怪	丑八怪你就是
想和喜欢的人看月亮	好想和喜欢的人谈恋爱
小波她们叔叔是男是女	小波你是男是女
我想吃苹果	我喜欢苹果
玩成语接龙吧	成语接龙我先开始
相册的私密保险箱怎么打开	怎么打开私密保险箱？
然后算了	然后就没了
我换其它的名字称呼你好不好	我可以换个名字叫你吗
我说你是不是蠢	我说你是不是虎
你是谁你从哪里来	你是哪个你是从哪儿来的呀
到底在哪里啊充满鲜花的世界	充满鲜花的世界到底在哪里
你考试考多少分	你考试考了多少分我知道
你可真有意思啊	你可真有意思
换首好听的	换下一首音乐
你认为我是男的还是女的	你知道我是男的还是女的
数分钟后提醒我	35分钟之后叫我起床
热点打开热点打开	热点打开
活动怎样参加	怎样开通
我不想挨揍了	你的老公不想挨揍了
你的名字是什么	你有名字吗
我真的没有说你	我没有说
李嘉诚又掉了	李嘉诚
痛经怎么办	我咳嗽怎么办
和好音乐	你知道什么音乐
等我一会儿	等我一会一会就好
我觉得你比小爱同学好	我觉得你不如小爱同学
你知道该怎么叫我不	你知道你要叫我什么吗
玩的游戏没有了	有没有好玩的游戏呀？
你愿意跟我结婚吗	你想跟我结婚吗
我超级超级讨厌小孩	你们的舅舅超级超级讨厌小孩
你的废话真多	你可不可以闭嘴
拨打李静的电话	打电话小马
真讨厌你	如此的讨厌你
我怎么这么可爱呢	你很可爱的英语怎么说
OPPO A5没有语音唤醒吗	OPPO A5可以唤醒语音吗
有充电特效吗	充电没有特效吗
先生用英语怎么说	仍然的英文
a1支持5g无线网络	Oppo a11没有5g终端吗？
我是不是傻逼	你到底是不是傻逼
我的朋友就是你了	我是你的朋友
我当你同意了	你同意了对吧
我之前在小游戏app上玩的那个游戏不见了的	五个人开黑的游戏
老子是纯爷们	我是你爷爷
我的手机掉了	我的手机丢了
讲个冷笑话	讲个笑话冷一点的
请问下系统什么时候升级	系统什么时候给我们更新
对啊就是你	对啊就是
为什么我的游戏空间没有特效	为什么我下的游戏没有？我在游戏空间的
小狗好可爱	两只小狗
我什么时候会死	我什么时候会有钱
你的充电速度是多少	你充电速度有几许
Reno是什么意思	Reno好没啊
oppo reno手机网速慢	oppo reno手机cpu集合
本人这款手机在网上卖多少钱	R11多少钱
不存在喜欢的成分	一点都不喜欢
闹钟响了	订三个闹钟
讲真的我觉得你挺好用	你挺好用的
特定手机版本是多少	本机手机号是多少？
小杜和你的区别是什么	你跟小杜有什么区别
你是不是不喜欢我	你不喜欢我是不是
你说松花蛋多些	你说了很多
手机字体变大	变更短信字体大小
新的开始	又一天开始了
Nfc是干嘛的	NFC是用来干嘛的
R17有哪些配置	A5用了什么芯片
我说什么你可以换个说法吗	你能换一个说法吗
我有对象了	我是真的有对象了
我找不到家了	家我怎么都找不到了
r1c是否支持nfc	NFC是有
好久没找你聊天了	哎哟亲亲啊你有没在找爱
好了你休息吧	你小眯一会吧
他立刻就走了不好意思	不好意思马上走
你是不是傻子	不能和爱人见面怎么办
讲一个儿童笑话	换个笑话
我们本来就是相亲相爱的一家人	我们家也是就是我们一天就是坏孩子呀
为什么注册	为什么
你真的是全网通的吗	你是全网通的吗
你多久出生的	你出生有多久了
怎么酷狗音乐在别的软件打不开	你不觉得离开是一种绝情吗？
再给我来一首歌	你把那歌给我关了
你究竟能不能嫁给我啊	你嫁给我行不行
你知道它在哪里吗	你的产地在哪里
蔡徐坤生日	我喜欢杨幂
打折想买东西	我想买一本英英词典
请告诉我叫什么名字	猜猜我叫什么
播放曲终人散	播放我曾
我要拍照	小布帮我打开相机
我的坚果	吃了酸奶和坚果
我想有个家	我想有一个温馨的家
聊一聊全职猎人	全职猎人
手机卡顿	卡手机总卡
那就继续聊呗	那就接着聊吧
说英语啦	嗯没关系用英语怎么说
你能正常点吗	你可以正常点吗
昨天你说	你刚才说什么
息屏显示怎么设置？	怎么设置黑屏显示时间
你最近过得好吗	你最近心情好吗
干嘛不回答我啊	你为什么不回答我
很失望是我的评价	对你很失望
武林外传是什么	一个人的武林
你刚刚说的是什么意思啊	R11是什么意思
长得好恐怖	我觉得不好看
在几点了	你一般几点起床啊
手机如何设置充电铃声	手机充满电可以设置提示铃声么
明天是几号	你的生日是几月几号
我姐姐美吗	你姐姐漂亮吗
我妈妈以前	你的妈妈
那你吃什么啊	说你吃什么
手机会黑屏，开一些软件的时候，直接就黑屏了	我的手机一直无规则黑屏
没有银行卡怎么领钱？	没有银行卡怎么还款
不能和她们的哥哥玩了	不能和你玩了
我和我的大宝贝吵架了	大宝贝和我吵吵了
音乐怎么在线播放	播放音乐成都
我是不是世界上最	世界上最冷的地方是哪里
那你知道啥呀	你了解什么内容呢
请问我们现在在哪里	请问,你现在在哪儿
你因为什么会说话	为什么你会说话
手机的没电提示音怎么修改	手机电量过低提示音怎么换
w31切换歌曲	W31切歌
你终于会说话了	你终于不再沉默了
我们的老婆听到没有	你听到没有
重启手机	重启动手机
你好我叫范道一	你好,我叫小
你能不能吧手机给我	你给我手机
我这么好	我也这么觉得
你能干嘛呀	你可以帮我干什么
火车出行需不需要带行李	坐高铁能带多少斤的行李
红包助手打开红包助手	打开红包助手
浏览器下载资料的存储位置	啥地方察寻浏览器下载材料储存位置
你给我生个孩子	你得给我生个小孩子才行
自己解决	你自己看着办
find x2是康宁第几代玻璃	find x2机子康宁第几张代玻璃
没有关系啊	我没有关系
我听不见你声大点	你听不见我声大点
我国的火警电话是	傻逼的电话
真的假的最新的信息	真的假的呀
今天下午要开会	今天下午应该有一个谈心的
因为我太无聊了	一天太无聊了
给我唱首歌吧	给我唱一首激光雨
怎样知道是否新	但不知道怎么不见呢
你能不能不要老给我打开音乐	你知道什么音乐
我有药你吃吗	我有药你吃不
明明有内存为什么安装不了	我的出现问题了，不能缓存东西
我觉得没问题	应该可以呢
那些离不开这个	我离不开你
问问不行吗	这个玩不行
我说的话你能听吗	你能听我说话吗
不大不大不大	不叫
清除聊天记录	怎么查看微信被删除的聊天记录
更新步数	我走了多少步了
请告诉我你和siri比一下谁更加好啊	是siri好还是你好
手机breeno指令在哪里？	enco free连接哪些手机支持杜比音效
女的你好oppo铃声背面语音说出号码倒闭	OPPO A92s怎么语音唤醒
超级美少女我爱你	美女我爱你
三个小时之后叫我	45分钟叫我
我想你了	你有没有想我呢
自己关系	我和你的关系
怎么解决	乏味怎么解决
请问阁下尊姓大名	你的姓名
自己的事情自己解决	自己的事情自己做
跟我讲故事	给我讲一个三只小猪的故事
我的手机为什么充不进去电了	为什么我手机来了电话卡的接不起
你觉得我要你好不好听	你听不听我想你
三千美元等于多少人民币	一元等于多少泰铢
find x2屏幕能显示10亿种颜色么	10亿色臻彩显示
给我播报新闻	报一下新闻
给我找一首38度六	你别动我去找你
我名字叫彭	你叫什么名字我我叫小欧你叫什么名字我叫小欧你叫什么名字我叫小你叫什么名字我叫小
你长的好标志	你长得好美啊
我们快去看看，电还够你撑多久	你快去看看，电还够我们撑多久
猜猜我叫什么	我叫绿巨人
我不知道你知道吗	我不明确你知道吗
千万不要瞎给别人发红包	不要乱发红包给别人
我不是药神是什么	我不是药神
你要告诉我什么答案	你可以快点告诉我吗
我的女人	女人能知道什么
刷单不好还要刷	刷不了机啊
我怎么听不到你说话	你在说话么我怎么听不见
我爱你哦哦	我一直就很爱你
你太会说了	你会说古诗吗
可是我不想啊	你想可是我不想啊
能不能告诉我你叫什么名字	你叫什么我忘了
是什么意思	Delivery是什么意思
你说的那些	你说的吧
我确实没干嘛	我没干嘛
你慢死了	你怎么这么慢呀
帮我下一下	停下吧
说太多是不可以的	说太多了
我问你妈妈叫什么	小波叫妈妈
OPPO是国企还是私企	OPPO企业号
陪我聊天吧	咱俩聊点什么
你可以当我儿子吗	你可不可以当我儿子啊
我们手机的程序密码忘记了	你好我的手机忘记密码了
请问谁最漂亮	你到底觉得谁最好看呢
打开振动没有	手环没有振动
芒果好不好吃	我觉得冰淇淋很好吃
如今直上银河去	凉月如眉挂柳湾
给我讲个故事	你给我讲一个睡前故事
我是不是很没用啊	很没用的是不是我啊
谁唱歌最好听	你唱的好听
晚上吃饭了吗	到底吃没吃饭
我什么时候告诉过你	哎哟什么时候骂过你了
篮球会玩吗	你会打篮球吗
第二个关系是什么	我们的关系是什么
那你知道李荣浩吗	你认识鹿晗吗洛爱上我哥
你都能回答什么问题	你都知道什么
oppo k7x的充电接口	K7的充电接口
音乐播放打开	打开音乐播放
星期五用英语怎么读	作业用英语怎么说
我要定时间	小布十分钟后提醒我
怎样设置软件图标	怎么设置图标透明？
我想咱们该认识一下了	我们认识一下吧
我被你相信吗	你相不相信我
我要找小度	我的小度
李清照的老公是谁	你老公是谁
enco w31恢复出厂设置	Enco W31耳机恢复出厂设置
给我放一首好听的歌	唱一首斗罗大陆
我这个怎么没有那个指令呢？	你好，最近信号很不好，有时只有一格，怎么回事呢？
我想你可以逗我开心	你可以逗我开心吗
以后我就叫你男朋友怎么样	以后你男朋友就叫我怎么样
七幺四幺四	七侠四义
那我看看	我好想看看
你真会聊天呢	你好会聊天哦
我一喊他就出来了	他会出来只要我一喊他
你还要我怎样要怎样	你要我怎么办你说
说什么好呢	对在说什么呀说什么压着
我想听你唱歌	嗯给我唱首歌吧
reno4下哦您告诉	breeno介绍
我本来不愿意认识你	我不想认识你
小小请告诉我我妈的密码	你知道我妈妈的密码吗
小冰给我解答	小冰小冰送给我
重新说一遍你叫什么名字	那叫什么名字
麻烦帮我截一下图	请帮我截一下图
我喜欢你做我女朋友好不好	你做我女朋友好不好我喜欢你
我肯定会对你好的	我会对你好的
这件事情你还是去问小丽吧	不想跟你说
你是个垃圾吧	你太垃圾了
知道我叫什么名字吧	你认识我吗
我想陪你睡觉	我想陪伴你睡觉
把你的小心心给我	希望你放我在心上
那我就告诉你	好我告诉你
没有对象	你不会觉得我有对象吧
唱的真好听	什么歌好听
我需要怎么做才能把你叫出来呢	我怎么才能叫出你
想买买买又没钱，怎么办	想购物又没钱,怎么办
你怎么这么棒呢	你也太赞了吧
我是不会想你的	我不会想你
reno ace	breeno ace2
讲笑话的英文	讲一首笑话
张杰唱的歌有什么	你喜欢听生僻字这首歌吗
你好你好请跟我说话	你好你好
我说什么你说什么	我方才说什么你就说什么
你是一个笨蛋我讨厌你不跟你说话	不跟你说话了
oppo帐号修改手机	OPPO账号修改手机号
定焦oppo reno十倍变焦	oppo RENO十倍变焦屏幕
你想干什么究竟	你到底要干嘛
我长得好看吧	我想你,长得应该很漂亮吧!
附近宾馆	搜索附近的酒店
那个小猪佩奇第三集	小猪佩奇
那要你有何用	你会你
你每天都要上班吗	你每天都去上班吗
拍照时的照片大小如何设置	前置摄像头拍照获得照片正常设置
想做小动作	你想做什么
聊一聊《我好像在哪见过你》	我好像在哪见过你
哪里可爱呀	哪里可爱了，你夸得我都害羞了
想你想的睡不着	嗯想你了
reno4 pro的cpu	Reno4的CPU
给我搜索一下	给我搜下
我这是吓到了	我吓到了
你这个在骂我是猪	你帮我骂卢才是个猪可不可以
今天看什么都感觉烦	我今天很不开心怎么办
帮我拍照啦	小布我要拍照
a32 cpu	A32 clq
一磅等于多少公斤	25000克等于多少吨
我真的很不错	我是真的很棒
屏碎保手机分开购买	售后拆机风险
今天的天气很好哦	今天天气怎样啊啊
就是心烦	就是不开心
说你是我爸爸	你嫁给我爸
ace2支持语音唤醒吗	OPPO A52支持语音唤醒吗？
啥电影好看呀	你爱不爱好看电影
怎么说呢	你刚才说什么了
能喝酒吗	怀孕能吃菜头吗
我该怎么干	我该怎么做
感冒有好一点吗	会不会感冒
你的儿女给谁一个人不是	不是你是谁呀
你长得好美啊	你的长相真好看
王者荣耀里面的英雄谁最强	王者荣耀的英雄有哪些
把我关掉	把他妹妹关掉
你是最好的帅哥	你就是最靓的仔
你是什么时候出生的	你哪个时候出生的
那你就慢慢加油吧	你慢慢加油吧
能不能换个名字不叫小不行	我换个名字可以吗
来个土味情话	会说土味情话吗，给我一个
怀孕能吃起司吗	山药豆怎么吃
你好你是谁啊	你可以告诉我你的名字吗
学习BBOX	BBOX
鞋的英语	眼睛的英文怎么读
你骗人的	你说的是假的
我可以设置语音助手一直播报名字吗	可以设置语音时间播报吗？
你的心有多寒	你的心是寒冷的吗
我叫小小	我允许你叫我小新
给我讲个故事吧	给我讲一个有趣的笑话
r15梦镜版手机的价格	R15梦境版配件价格表
我的亮度怎么不能调了？	下面按键的灯不亮怎么调啊
我们要去哪里	我们去到了那里呢
听见我的讲话没有为什么不理我	刚刚叫你为什么不答应
也不难过的	不要难过了
我说我的妈妈	我妈妈来了,88
一粒径的意思是什么	R17是什么意思
Find X2后盖材质	Find 5中框和后盖材质
怎么换壁纸吗	你怎么这么矮
你是人吗	你是不是鬼呀
我们是男孩子	你是男孩子
请问怎么定位对方手机	我想请问一下，怎么查询手机是不是真的
他又出来了	他出来了
开启电灯	小布帮我把灯打开
请问你今天天气怎么样	今天的天气很好哦
reno4 se支持nfc吗	Reno Ace是否支持NFC
我真不想去了	太远了我不去了
a72支持3G	A52是否支持5G
手机手电筒怎样关闭	怎样关闭手机配件旋转
曲面find x2	find x2配件
闹钟响了	设置一个闹钟
微信来啦	开启微信指纹支付
你真的很垃圾	你就是个垃圾
来一句社会语录	来一句社会人语录
我刚好像失恋了	我刚失恋了
哪里有按摩店	哪好玩
你没理由没听到啊	你真的没听见吗
OPPO会员推荐人的介绍	OPPO会员成长值的介绍
状态不好	小欧帮我状态
朋友啊朋友	我的一个朋友
我要说什么比较好呢	不知道说什么好
的话题陪我聊聊呗	你能不能陪我聊天
我是双鱼座	我其实是双鱼座的
你真的喜欢我	你果然喜欢我
支付宝充值	打开支付宝花呗
大家来听你变过的声音	你可以换个声音和我说话吗
你喜欢听故事吗	你喜欢听吗
王婆卖瓜自卖自夸	大哥的社会语录
OPPO手机质量怎么样	OPPO好用还是苹果好用
男人没一个好东西	我认为男人没有一个好东西
你这会儿干啥呢	你弄什么呢
你有脑袋吗	你有头吗
波导OPPO客服电话	OPPO的售后电话是多少
我有个傻逼	我就是个白痴
别再说了再见	不说啦以后再见吧
玩什么才开心	怎么样能玩得很开心
蓝牙耳机自适应音效功能介绍	蓝牙耳机自适应音效功能
王者荣耀里哪个英雄比较厉害	王者荣耀哪个英雄最难玩
你怎么写	你可以怎么写
我竟然离不开你	我发现离不开你
oppo watch的系统	OPPO a8系统
哎呀怎么回事啊	哎呀怎么
我到家大约在什么时候	我什么时候能到家
射手座是几月几日出生的	六月份是什么星座
气死你气死你	你气死了才好
你放空什么呀	为什么放空呀你
接着放音乐	你知道什么音乐
我好奇你的好友都有哪些	你的好朋友是谁
你能安慰我吗	你可以安慰我吗
美女晚上好	晚上好靓女
你年龄多大	你多大年龄了
说一唱一个歌	你平时都唱什么歌
你爸妈是谁呀叫啥名字姓啥呀	你爸妈叫什么名字
我在等你爸爸	就是在等你啊老爸
找不到你的人都找不到	你在找什么
哦你在干什么呢	你在干嘛呢
那手机没电了	这个手机什么型号
二十分钟以后提醒我	一个小时之后提醒我
你喜欢我吗	你可以对我表白吗
R2017是否支持遥控器	R15x是否支持红外遥控器
